state_postal_abbr,data_year,officer_count,officer_rate_per_1000,civilian_count,civilian_rate_per_1000,population
OK,2003,7192,2.02,3456,0.97,3566501
OH,2003,24110,2.06,10649,0.91,11693154
NY,2003,56802,2.70,19503,0.93,21018067
NV,2003,4708,2.09,3168,1.41,2247570
NM,2003,4158,2.20,1491,0.79,1892610
NJ,2003,31765,3.66,8750,1.01,8688836
NH,2003,2494,1.85,808,0.60,1349937
NE,2003,3530,1.96,1373,0.76,1803654
ND,2003,1180,1.81,420,0.65,650626
NC,2003,21782,2.58,9194,1.09,8433301
MT,2003,1703,1.72,1222,1.24,987421
MS,2003,5877,2.04,3333,1.16,2881281
MO,2003,13585,2.37,5735,1.00,5732950
MN,2003,8602,1.67,4426,0.86,5135884
MI,2003,23008,2.21,8311,0.80,10392804
ME,2003,2272,1.69,726,0.54,1344343
MD,2003,15323,2.70,4761,0.84,5672192
MA,2003,16539,2.57,3201,0.50,6447698
LA,2003,17308,3.81,5082,1.12,4542081
KY,2003,9427,2.27,2725,0.66,4145297
KS,2003,7198,2.58,3295,1.18,2794304
IN,2003,11400,1.83,7065,1.14,6214751
IL,2003,36714,2.89,13750,1.08,12719599
ID,2003,2690,1.91,1182,0.84,1407177
IA,2003,5064,1.70,2501,0.84,2973146
HI,2003,2949,2.16,861,0.63,1364659
GA,2003,35332,4.05,15073,1.73,8719493
FL,2003,43384,2.54,26919,1.57,17102484
DE,2003,2828,3.36,1078,1.28,841448
DC,2003,4509,8.00,907,1.61,563384
CT,2003,7885,2.21,1754,0.49,3565135
CO,2003,11486,2.51,5060,1.10,4584627
CA,2003,77624,2.18,40267,1.13,35592667
AZ,2003,11146,1.99,7929,1.42,5602641
AR,2003,5783,2.08,2907,1.05,2773659
AL,2003,10477,2.31,5250,1.16,4531274
AK,2003,1174,1.81,682,1.05,648921
WY,2004,1310,2.56,697,1.36,512254
WV,2004,3228,1.77,910,0.50,1828129
WI,2004,12945,2.31,5155,0.92,5593370
WA,2004,9901,1.59,4195,0.67,6235902
VT,2004,1084,1.71,350,0.55,632382
VA,2004,17721,2.37,5220,0.70,7466783
UT,2004,4682,1.88,2573,1.03,2494676
TX,2004,49377,2.19,30379,1.35,22560566
TN,2004,16578,2.80,9516,1.61,5913360
SD,2004,1379,1.77,872,1.12,781164
SC,2004,11834,2.81,4372,1.04,4218132
RI,2004,2482,2.28,625,0.57,1086969
PA,2004,26394,2.04,4878,0.38,12949082
OR,2004,5571,1.53,2232,0.61,3639657
OK,2004,7132,1.99,3479,0.97,3579422
OH,2004,23680,2.02,10458,0.89,11714712
NY,2004,64517,3.06,23562,1.12,21053780
NV,2004,4777,2.04,3288,1.40,2341129
NM,2004,4231,2.20,1532,0.80,1922397
NJ,2004,31761,3.63,9026,1.03,8750387
NH,2004,2499,1.84,818,0.60,1357671
NE,2004,3575,1.98,1407,0.78,1809146
ND,2004,1216,1.86,433,0.66,652988
NC,2004,22261,2.60,9685,1.13,8568209
MT,2004,1738,1.74,1194,1.20,996511
MS,2004,6005,2.07,3605,1.24,2904176
MO,2004,13660,2.36,5685,0.98,5784134
MN,2004,8693,1.67,4521,0.87,5217233
MI,2004,22719,2.17,8497,0.81,10462367
ME,2004,2259,1.66,718,0.53,1359674
MD,2004,16936,2.96,5533,0.97,5726100
MA,2004,16358,2.54,3362,0.52,6430871
LA,2004,17597,3.86,5107,1.12,4561336
KY,2004,9436,2.26,2941,0.70,4174200
KS,2004,7550,2.69,3019,1.08,2808073
IN,2004,11509,1.84,7054,1.13,6256746
IL,2004,36624,2.87,13768,1.08,12779604
ID,2004,2696,1.88,1243,0.86,1437770
IA,2004,5038,1.69,2501,0.84,2981527
HI,2004,2845,2.08,819,0.60,1370337
GA,2004,35438,4.00,14635,1.65,8865341
FL,2004,45130,2.58,28551,1.63,17489500
DE,2004,2880,3.37,1140,1.33,854779
DC,2004,4764,8.61,825,1.49,553523
CT,2004,7925,2.21,1806,0.50,3586296
CO,2004,11485,2.48,5191,1.12,4638693
CA,2004,76432,2.12,39646,1.10,36003471
AZ,2004,11418,1.98,8546,1.48,5765872
AR,2004,5924,2.13,2952,1.06,2781633
AL,2004,10589,2.33,5382,1.18,4550680
AK,2004,1252,1.91,688,1.05,655932
WY,2005,1340,2.60,497,0.96,515094
WV,2005,3289,1.80,879,0.48,1829736
WI,2005,13172,2.34,4948,0.88,5621216
WA,2005,10210,1.62,4027,0.64,6317852
VT,2005,1163,1.84,404,0.64,632830
VA,2005,18003,2.38,5100,0.67,7572336
UT,2005,4769,1.85,2666,1.03,2579994
TX,2005,50026,2.18,31164,1.36,22931222
TN,2005,16148,2.70,9937,1.66,5974002
SD,2005,1406,1.77,876,1.10,793779
SC,2005,11589,2.71,4274,1.00,4274954
RI,2005,2560,2.37,659,0.61,1082452
PA,2005,26482,2.04,4988,0.38,12970259
OR,2005,5657,1.53,2223,0.60,3689202
OK,2005,7132,1.98,4000,1.11,3607913
OH,2005,24021,2.05,10158,0.87,11703070
NY,2005,64847,3.08,23502,1.11,21085280
NV,2005,4985,2.06,3573,1.48,2421139
NM,2005,4338,2.23,1635,0.84,1947879
NJ,2005,32330,3.69,9077,1.03,8770503
NH,2005,2584,1.89,827,0.60,1367915
NE,2005,3588,1.97,1363,0.75,1823210
ND,2005,1208,1.84,417,0.63,657313
NC,2005,22527,2.59,9883,1.13,8710624
MT,2005,1729,1.72,1242,1.24,1005339
MS,2005,5889,2.02,3674,1.26,2922286
MO,2005,13399,2.30,5830,1.00,5833568
MN,2005,8428,1.60,4505,0.86,5251641
MI,2005,22382,2.13,8052,0.77,10503531
ME,2005,2278,1.67,693,0.51,1365098
MD,2005,15381,2.67,5055,0.88,5769032
MA,2005,16732,2.61,3360,0.52,6413161
LA,2005,17355,3.76,4366,0.95,4613033
KY,2005,9579,2.28,2723,0.65,4198940
KS,2005,7427,2.63,3372,1.20,2819342
IN,2005,11512,1.83,6618,1.05,6284182
IL,2005,36716,2.86,14878,1.16,12826171
ID,2005,2844,1.93,1245,0.84,1474282
IA,2005,5067,1.69,2555,0.85,2993509
HI,2005,2955,2.14,850,0.61,1383742
GA,2005,35799,3.93,14651,1.61,9111910
FL,2005,43965,2.46,29341,1.64,17883830
DE,2005,2927,3.36,1085,1.25,870075
DC,2005,4767,8.66,757,1.38,550521
CT,2005,7857,2.19,1801,0.50,3593240
CO,2005,11997,2.55,5179,1.10,4702789
CA,2005,76702,2.12,40049,1.11,36243236
AZ,2005,11764,1.97,9229,1.55,5961525
AR,2005,6052,2.15,3059,1.09,2808844
AL,2005,10692,2.34,5223,1.14,4575157
AK,2005,1216,1.83,669,1.01,664150
WY,2006,1348,2.59,559,1.07,521073
WV,2006,3402,1.86,881,0.48,1831328
WI,2006,13140,2.33,5090,0.90,5641804
WA,2006,10118,1.57,4134,0.64,6428613
VT,2006,1168,1.84,404,0.64,633732
VA,2006,18342,2.40,5317,0.70,7647723
UT,2006,4619,1.74,3030,1.14,2652169
TX,2006,50537,2.14,32697,1.39,23579632
TN,2006,15973,2.64,10045,1.66,6049950
SD,2006,1405,1.75,919,1.14,803401
SC,2006,11970,2.76,4097,0.94,4342253
RI,2006,2570,2.39,666,0.62,1073858
PA,2006,26858,2.06,4988,0.38,13007252
OR,2006,5843,1.56,3283,0.88,3750459
OK,2006,7208,1.98,3978,1.09,3644477
OH,2006,24647,2.11,10169,0.87,11698918
NY,2006,64896,3.07,24258,1.15,21155940
NV,2006,5281,2.11,3819,1.53,2502102
NM,2006,4197,2.14,1676,0.86,1960013
NJ,2006,32129,3.66,8580,0.98,8774169
NH,2006,2610,1.90,850,0.62,1372416
NE,2006,3609,1.97,1381,0.75,1830752
ND,2006,1214,1.85,441,0.67,656369
NC,2006,22996,2.59,10154,1.14,8889498
MT,2006,1793,1.78,1133,1.12,1007609
MS,2006,6051,2.08,3787,1.30,2911756
MO,2006,13854,2.36,5865,1.00,5878107
MN,2006,8613,1.63,4704,0.89,5294340
MI,2006,22249,2.12,7857,0.75,10472927
ME,2006,2260,1.66,751,0.55,1361204
MD,2006,17088,2.95,5996,1.04,5782952
MA,2006,17613,2.73,3498,0.54,6449866
LA,2006,17212,3.94,4317,0.99,4364276
KY,2006,9726,2.30,2589,0.61,4232421
KS,2006,7520,2.65,3434,1.21,2842603
IN,2006,11405,1.80,6836,1.08,6325730
IL,2006,37415,2.90,14850,1.15,12903652
ID,2006,2911,1.92,1391,0.92,1514779
IA,2006,5126,1.70,2605,0.87,3009709
HI,2006,3029,2.17,862,0.62,1394924
GA,2006,36273,3.85,15126,1.61,9414191
FL,2006,48329,2.66,29016,1.60,18186529
DE,2006,2867,3.25,1047,1.19,881748
DC,2006,4796,8.25,797,1.37,581530
CT,2006,7902,2.20,1831,0.51,3587033
CO,2006,12109,2.53,5323,1.11,4790446
CA,2006,78066,2.13,41368,1.13,36572532
AZ,2006,12014,1.94,9569,1.55,6179065
AR,2006,6048,2.12,3192,1.12,2850710
AL,2006,10686,2.31,5544,1.20,4616525
AK,2006,1259,1.88,722,1.08,670527
WY,2007,1438,2.72,698,1.32,529131
WV,2007,3358,1.84,914,0.50,1824749
WI,2007,13067,2.30,5779,1.02,5686904
WA,2007,10449,1.61,4283,0.66,6500793
VT,2007,1143,1.81,385,0.61,631049
VA,2007,18751,2.43,5342,0.69,7716894
UT,2007,4756,1.73,3184,1.16,2751296
TX,2007,52033,2.17,34006,1.42,23977218
TN,2007,16333,2.65,15606,2.53,6169812
SD,2007,1436,1.75,800,0.97,820695
SC,2007,12294,2.77,4310,0.97,4432638
RI,2007,2587,2.43,666,0.63,1063980
PA,2007,27407,2.11,5063,0.39,12977687
OR,2007,6869,1.81,4493,1.18,3797589
OK,2007,7435,2.02,4018,1.09,3683300
OH,2007,24985,2.14,10969,0.94,11686891
NY,2007,64669,3.06,24956,1.18,21141230
NV,2007,6414,2.49,3143,1.22,2571920
NM,2007,4329,2.19,1704,0.86,1975264
NJ,2007,32911,3.77,9412,1.08,8734669
NH,2007,2657,1.94,857,0.62,1372790
NE,2007,3556,1.93,1398,0.76,1845915
ND,2007,1229,1.87,464,0.70,658340
NC,2007,23400,2.57,10306,1.13,9095201
MT,2007,1851,1.81,1068,1.04,1022745
MS,2007,6076,2.08,3721,1.27,2919962
MO,2007,15465,2.61,7013,1.18,5918287
MN,2007,8823,1.65,4818,0.90,5332183
MI,2007,22043,2.11,7907,0.76,10451398
ME,2007,2340,1.72,774,0.57,1357264
MD,2007,15988,2.76,5394,0.93,5788936
MA,2007,17479,2.71,3631,0.56,6461073
LA,2007,16783,3.84,5958,1.36,4375963
KY,2007,9850,2.31,2662,0.62,4269523
KS,2007,7634,2.67,3415,1.20,2856095
IN,2007,11648,1.83,6334,1.00,6357333
IL,2007,37489,2.90,16259,1.26,12923835
ID,2007,2970,1.92,1498,0.97,1549218
IA,2007,5227,1.73,2678,0.89,3015918
HI,2007,3014,2.16,901,0.65,1392635
GA,2007,37556,3.91,15221,1.58,9603810
FL,2007,45359,2.47,30055,1.64,18341214
DE,2007,2843,3.22,1098,1.24,884060
DC,2007,4902,8.33,832,1.41,588292
CT,2007,8000,2.23,1903,0.53,3584852
CO,2007,12299,2.51,5561,1.13,4900222
CA,2007,81076,2.21,43396,1.18,36672767
AZ,2007,12661,1.99,10122,1.59,6351417
AR,2007,6216,2.17,3196,1.12,2862582
AL,2007,10885,2.34,5787,1.25,4646319
AK,2007,1246,1.82,689,1.01,683918
WY,2008,1429,2.65,647,1.20,539308
WV,2008,3121,1.71,1004,0.55,1826800
WI,2008,13176,2.31,5628,0.98,5714275
WA,2008,10706,1.63,4390,0.67,6581318
VT,2008,1088,1.72,382,0.61,630943
VA,2008,19130,2.46,5407,0.70,7775680
UT,2008,4829,1.70,3036,1.07,2842728
TX,2008,53418,2.19,35050,1.44,24401987
TN,2008,16515,2.65,10444,1.68,6230777
SD,2008,1448,1.74,841,1.01,831492
SC,2008,12620,2.80,4316,0.96,4506037
RI,2008,2592,2.45,661,0.63,1056952
PA,2008,27156,2.09,5082,0.39,12990337
OR,2008,6787,1.77,4518,1.18,3841297
OK,2008,7846,2.12,3895,1.05,3704782
OH,2008,25318,2.16,10534,0.90,11713451
NY,2008,65611,3.07,20374,0.95,21383787
NV,2008,5747,2.20,3114,1.19,2606849
NM,2008,4385,2.20,1728,0.87,1989674
NJ,2008,32486,3.72,9289,1.06,8726828
NH,2008,2775,2.02,882,0.64,1371973
NE,2008,3615,1.95,1356,0.73,1855988
ND,2008,1251,1.90,449,0.68,658883
NC,2008,23972,2.59,10897,1.18,9257073
MT,2008,1811,1.76,1111,1.08,1031083
MS,2008,6086,2.07,3768,1.28,2939817
MO,2008,15754,2.65,7069,1.19,5950049
MN,2008,8977,1.66,4847,0.90,5414468
MI,2008,22071,2.13,8060,0.78,10376520
ME,2008,2304,1.70,736,0.54,1356450
MD,2008,16141,2.78,5437,0.94,5800551
MA,2008,17563,2.70,3732,0.57,6509197
LA,2008,17933,3.99,5363,1.19,4492956
KY,2008,9899,2.30,2929,0.68,4301078
KS,2008,7625,2.64,3700,1.28,2883377
IN,2008,11821,1.85,6475,1.01,6388695
IL,2008,37470,2.89,15351,1.18,12973710
ID,2008,3003,1.91,1863,1.18,1575635
IA,2008,5258,1.74,2891,0.95,3028304
HI,2008,3130,2.24,902,0.65,1397856
GA,2008,38284,3.93,15448,1.59,9742376
FL,2008,45637,2.48,29902,1.62,18427925
DE,2008,2908,3.26,1080,1.21,892606
DC,2008,5076,8.58,849,1.43,591833
CT,2008,8659,2.41,2028,0.56,3592331
CO,2008,12597,2.53,5546,1.11,4978873
CA,2008,83889,2.27,43160,1.17,36876276
AZ,2008,13128,2.02,10198,1.57,6513235
AR,2008,6094,2.11,3635,1.26,2881714
AL,2008,11201,2.39,5801,1.24,4684189
AK,2008,1299,1.89,708,1.03,686732
WY,2009,1482,2.69,636,1.15,551287
WV,2009,3535,1.93,985,0.54,1832215
WI,2009,13223,2.31,6054,1.06,5726929
WA,2009,10517,1.57,4081,0.61,6696694
VT,2009,1142,1.81,362,0.57,631334
VA,2009,19038,2.41,5233,0.66,7889510
UT,2009,4908,1.70,3068,1.06,2893460
TX,2009,55478,2.23,35243,1.42,24855177
TN,2009,16865,2.67,10423,1.65,6312287
SD,2009,1501,1.78,852,1.01,842057
SC,2009,11994,2.61,4134,0.90,4587263
RI,2009,2563,2.42,641,0.61,1059442
PA,2009,27316,2.07,4991,0.38,13188116
OR,2009,6915,1.78,4632,1.19,3880842
OK,2009,8092,2.16,4069,1.09,3746223
OH,2009,24932,2.12,10194,0.87,11775714
NY,2009,64751,3.01,22071,1.03,21490710
NV,2009,6003,2.27,4132,1.56,2649704
NM,2009,4639,2.30,2226,1.10,2016615
NJ,2009,32611,3.72,9627,1.10,8761163
NH,2009,2732,1.98,879,0.64,1379703
NE,2009,3694,1.99,1352,0.73,1859286
ND,2009,1286,1.94,475,0.72,664127
NC,2009,24274,2.58,11263,1.20,9421855
MT,2009,1886,1.82,1235,1.19,1038840
MS,2009,6355,2.15,3874,1.31,2953221
MO,2009,15988,2.65,7072,1.17,6031658
MN,2009,8999,1.65,4845,0.89,5461876
MI,2009,21485,2.08,7727,0.75,10345739
ME,2009,2310,1.70,628,0.46,1358268
MD,2009,16192,2.76,5204,0.89,5870524
MA,2009,17039,2.58,3316,0.50,6604959
LA,2009,17281,3.78,5952,1.30,4574351
KY,2009,9774,2.25,2629,0.60,4350981
KS,2009,7622,2.63,3658,1.26,2900426
IN,2009,12097,1.88,6463,1.00,6434990
IL,2009,36788,2.84,14731,1.14,12965589
ID,2009,3002,1.88,1613,1.01,1599174
IA,2009,5364,1.77,2807,0.93,3033600
HI,2009,3123,2.22,916,0.65,1405431
GA,2009,38944,3.94,16268,1.65,9886620
FL,2009,46221,2.48,28897,1.55,18646709
DE,2009,2904,3.21,1045,1.16,904124
DC,2009,5118,8.53,829,1.38,599657
CT,2009,8649,2.40,1937,0.54,3609641
CO,2009,12638,2.50,5826,1.15,5062934
CA,2009,82902,2.24,42495,1.15,37061435
AZ,2009,13092,1.98,10077,1.52,6609085
AR,2009,6243,2.14,3784,1.30,2914733
AL,2009,11522,2.43,5787,1.22,4732747
AK,2009,1304,1.87,720,1.03,698901
WY,2010,1439,2.52,569,1.00,570473
WV,2010,3531,1.89,944,0.51,1866447
WI,2010,13219,2.29,6348,1.10,5774410
WA,2010,10542,1.56,4181,0.62,6762781
VT,2010,1164,1.83,358,0.56,635311
VA,2010,19099,2.39,5171,0.65,8007795
UT,2010,4991,1.74,2140,0.75,2864017
TX,2010,55479,2.20,35246,1.40,25218692
TN,2010,16996,2.67,10558,1.66,6357852
SD,2010,1527,1.81,900,1.07,844743
SC,2010,12299,2.65,4220,0.91,4649536
RI,2010,2547,2.41,630,0.59,1058992
PA,2010,27355,2.06,4745,0.36,13292628
OR,2010,7031,1.81,4506,1.16,3889074
OK,2010,7783,2.04,4058,1.06,3815410
OH,2010,24179,2.06,9617,0.82,11759004
NY,2010,63889,3.00,21685,1.02,21307462
NV,2010,5900,2.18,3993,1.47,2707228
NM,2010,4562,2.21,1728,0.84,2062883
NJ,2010,31579,3.57,9038,1.02,8852833
NH,2010,2720,1.98,869,0.63,1372270
NE,2010,3703,1.96,1382,0.73,1891354
ND,2010,1372,1.98,501,0.72,691502
NC,2010,24735,2.58,10992,1.15,9580821
MT,2010,1958,1.86,1132,1.07,1055270
MS,2010,6481,2.18,4254,1.43,2968683
MO,2010,15900,2.64,6963,1.15,6031691
MN,2010,8950,1.63,4703,0.85,5507486
MI,2010,20938,2.03,7417,0.72,10307062
ME,2010,2307,1.68,605,0.44,1370677
MD,2010,16029,2.69,5231,0.88,5949764
MA,2010,16769,2.56,3546,0.54,6559003
LA,2010,17356,3.77,5962,1.29,4607610
KY,2010,10018,2.29,2615,0.60,4376436
KS,2010,7611,2.59,3714,1.26,2937014
IN,2010,12057,1.86,6214,0.96,6494899
IL,2010,35630,2.76,14438,1.12,12888247
ID,2010,3105,1.91,1636,1.01,1622423
IA,2010,5366,1.75,2798,0.91,3072601
HI,2010,3080,2.08,882,0.60,1479842
GA,2010,39344,4.03,15029,1.54,9752532
FL,2010,46402,2.45,28949,1.53,18910325
DE,2010,2931,3.21,1061,1.16,914390
DC,2010,4566,7.59,646,1.07,601723
CT,2010,8646,2.36,1860,0.51,3665941
CO,2010,12348,2.44,5685,1.12,5067746
CA,2010,81612,2.19,40833,1.09,37346022
AZ,2010,12791,2.00,9685,1.51,6404623
AR,2010,6220,2.11,3803,1.29,2941161
AL,2010,11242,2.35,5424,1.13,4792630
AK,2010,1258,1.77,730,1.03,711456
WY,2011,1563,2.72,680,1.18,575060
WV,2011,3507,1.88,979,0.52,1868831
WI,2011,12927,2.23,6174,1.06,5802912
WA,2011,10399,1.51,4079,0.59,6868877
VT,2011,1164,1.83,356,0.56,636012
VA,2011,19145,2.36,5252,0.65,8103947
UT,2011,4976,1.69,2178,0.74,2947790
TX,2011,55829,2.17,34611,1.34,25756300
TN,2011,17073,2.66,10595,1.65,6417953
SD,2011,1565,1.83,1291,1.51,857332
SC,2011,12849,2.73,4447,0.95,4704025
RI,2011,2499,2.36,605,0.57,1057719
PA,2011,27547,2.07,5776,0.43,13333505
OR,2011,23006,5.85,9395,2.39,3933412
OK,2011,7872,2.04,4267,1.11,3854076
OH,2011,23627,2.01,9291,0.79,11753515
NY,2011,63105,2.95,21071,0.98,21413705
NV,2011,5516,2.02,3734,1.37,2730056
NM,2011,4631,2.22,1754,0.84,2085969
NJ,2011,29760,3.35,8584,0.97,8878183
NH,2011,2761,2.01,888,0.65,1371698
NE,2011,3803,1.99,1424,0.75,1908232
ND,2011,1399,1.99,504,0.72,703813
NC,2011,24887,2.57,11136,1.15,9699207
MT,2011,2026,1.90,1176,1.10,1064639
MS,2011,6370,2.14,3473,1.17,2979903
MO,2011,15778,2.61,6867,1.13,6053701
MN,2011,8921,1.61,4640,0.84,5553912
MI,2011,20467,1.98,7162,0.69,10359533
ME,2011,2330,1.70,578,0.42,1370501
MD,2011,15900,2.65,5243,0.87,6006169
MA,2011,17018,2.58,3582,0.54,6598979
LA,2011,17765,3.82,5242,1.13,4648451
KY,2011,9966,2.26,2680,0.61,4407173
KS,2011,7542,2.55,3742,1.27,2955412
IN,2011,12003,1.84,6111,0.94,6528075
IL,2011,35006,2.71,13866,1.07,12923112
ID,2011,3075,1.87,1580,0.96,1640433
IA,2011,5331,1.73,2650,0.86,3088691
HI,2011,3093,2.07,877,0.59,1495625
GA,2011,39118,3.96,15559,1.57,9880945
FL,2011,45895,2.39,27825,1.45,19173658
DE,2011,2882,3.12,1079,1.17,923759
DC,2011,4871,7.88,783,1.27,617996
CT,2011,8382,2.28,1902,0.52,3672721
CO,2011,12221,2.37,5732,1.11,5155993
CA,2011,78893,2.09,39576,1.05,37819249
AZ,2011,12532,1.93,9438,1.45,6501532
AR,2011,6401,2.16,3640,1.23,2963414
AL,2011,11469,2.38,5701,1.18,4815348
AK,2011,1324,1.82,710,0.98,725910
WY,2012,1492,2.55,623,1.07,584176
WV,2012,3581,1.92,948,0.51,1868841
WI,2012,12819,2.20,6017,1.03,5824355
WA,2012,10271,1.48,4115,0.59,6937277
VT,2012,1238,1.95,444,0.70,635566
VA,2012,19331,2.36,5177,0.63,8193139
UT,2012,5091,1.67,2138,0.70,3054116
TX,2012,54351,2.08,33648,1.29,26143479
TN,2012,17376,2.68,10782,1.67,6472025
SD,2012,1622,1.87,1190,1.37,865800
SC,2012,12448,2.62,4849,1.02,4750466
RI,2012,2467,2.33,591,0.56,1056691
PA,2012,26726,1.98,5057,0.38,13468600
OR,2012,6942,1.75,4297,1.08,3961014
OK,2012,8085,2.09,4520,1.17,3877002
OH,2012,23003,1.97,9273,0.79,11695268
NY,2012,62961,2.92,20671,0.96,21525230
NV,2012,5697,2.06,3770,1.36,2765739
NM,2012,4610,2.21,1756,0.84,2089244
NJ,2012,29511,3.31,9047,1.01,8925939
NH,2012,2751,2.00,856,0.62,1372484
NE,2012,3707,1.93,1475,0.77,1924282
ND,2012,1482,2.05,524,0.72,724363
NC,2012,24948,2.55,11367,1.16,9794736
MT,2012,2016,1.88,992,0.93,1071788
MS,2012,6119,2.05,3510,1.18,2986296
MO,2012,15466,2.55,6898,1.14,6064498
MN,2012,8947,1.60,4695,0.84,5591233
MI,2012,19830,1.91,7154,0.69,10366035
ME,2012,2308,1.68,583,0.42,1373153
MD,2012,17536,2.89,5570,0.92,6067471
MA,2012,16898,2.54,3395,0.51,6657600
LA,2012,17768,3.80,4812,1.03,4674734
KY,2012,10013,2.27,2678,0.61,4413259
KS,2012,7617,2.56,3474,1.17,2971399
IN,2012,11753,1.79,5462,0.83,6548541
IL,2012,34534,2.67,14334,1.11,12934012
ID,2012,3082,1.87,1630,0.99,1651515
IA,2012,5231,1.69,2906,0.94,3098112
HI,2012,3075,2.03,882,0.58,1514307
GA,2012,39145,3.92,14947,1.50,9986384
FL,2012,47887,2.46,28629,1.47,19434305
DE,2012,2313,2.48,855,0.92,933909
DC,2012,4936,7.81,775,1.23,632323
CT,2012,8501,2.31,1800,0.49,3682267
CO,2012,12407,2.37,5882,1.13,5227884
CA,2012,78062,2.04,40532,1.06,38183375
AZ,2012,13082,1.99,10041,1.53,6572455
AR,2012,6465,2.17,3641,1.22,2981157
AL,2012,11209,2.32,5806,1.20,4834334
AK,2012,1330,1.81,690,0.94,735190
WY,2013,1657,2.84,711,1.22,584176
WV,2013,3587,1.92,964,0.52,1868841
WI,2013,12679,2.18,5503,0.94,5824355
WA,2013,10374,1.50,4275,0.62,6937277
VT,2013,1163,1.83,417,0.66,635566
VA,2013,19475,2.38,5171,0.63,8193139
UT,2013,4687,1.53,1924,0.63,3054116
TX,2013,54926,2.10,36687,1.40,26144504
TN,2013,17577,2.72,10876,1.68,6472523
SD,2013,1711,1.97,1203,1.39,867747
SC,2013,13139,2.77,3988,0.84,4750230
RI,2013,2443,2.31,626,0.59,1056691
PA,2013,26429,1.96,5046,0.37,13463152
OR,2013,6863,1.73,4270,1.08,3961014
OK,2013,7971,2.06,4403,1.14,3875952
OH,2013,23130,1.98,9277,0.79,11690997
NY,2013,63059,2.93,20754,0.96,21527890
NV,2013,5378,1.94,3454,1.25,2765739
NM,2013,4042,1.93,1866,0.89,2090634
NJ,2013,29018,3.25,8772,0.98,8938130
NH,2013,2737,2.00,869,0.63,1370113
NE,2013,3686,1.92,1492,0.78,1924282
ND,2013,1508,2.08,521,0.72,724015
NC,2013,24879,2.54,11161,1.14,9793114
MT,2013,1878,1.75,973,0.91,1071788
MS,2013,6290,2.11,3339,1.12,2986296
MO,2013,15887,2.62,6924,1.14,6064057
MN,2013,8900,1.59,4627,0.83,5595813
MI,2013,19626,1.89,6876,0.66,10366035
ME,2013,2305,1.68,583,0.42,1373153
MD,2013,19355,3.19,6361,1.05,6067471
MA,2013,17180,2.58,3522,0.53,6657600
LA,2013,17043,3.65,4539,0.97,4672725
KY,2013,9763,2.21,2552,0.58,4414668
KS,2013,7598,2.56,3504,1.18,2971399
IN,2013,11486,1.75,5456,0.83,6548541
IL,2013,34080,2.63,10150,0.78,12934012
ID,2013,3019,1.83,1653,1.00,1651515
IA,2013,5256,1.70,2797,0.90,3098112
HI,2013,3019,1.99,876,0.58,1514307
GA,2013,37653,3.77,14790,1.48,9986384
FL,2013,48106,2.47,28209,1.45,19436863
DE,2013,2350,2.52,835,0.89,933115
DC,2013,5200,8.22,600,0.95,632323
CT,2013,8544,2.32,1835,0.50,3682267
CO,2013,12807,2.45,5636,1.08,5227884
CA,2013,77929,2.04,40755,1.07,38182554
AZ,2013,12215,1.86,9466,1.44,6572455
AR,2013,6574,2.21,3702,1.24,2974617
AL,2013,11486,2.38,5818,1.20,4834334
AK,2013,1361,1.85,634,0.86,735190
